Programming Skills,Portfolio URL
"Rust, Figma, Vue.js",https://portfolio.example.com/user45
"TypeScript, IntelliJ IDEA, React",https://portfolio.example.com/user46
"Java, PyCharm, Vue.js",https://portfolio.example.com/user47
"Perl, Docker, Next.js",https://portfolio.example.com/user48
"Clojure, Maven, NestJS",https://portfolio.example.com/user49
"Python, Postman, Phoenix",https://portfolio.example.com/user50
"JavaScript, Docker, Ruby on Rails",https://portfolio.example.com/user51
"TypeScript, Docker, Vue.js",https://portfolio.example.com/user52
"Perl, IntelliJ IDEA, Next.js",https://portfolio.example.com/user53
"PHP, Eclipse, Next.js",https://portfolio.example.com/user54
"Groovy, Postman, Nuxt.js",https://portfolio.example.com/user55
"Python, IntelliJ IDEA, NestJS",https://portfolio.example.com/user56
"JavaScript, NetBeans, NestJS",https://portfolio.example.com/user57
"PHP, Git, Vue.js",https://portfolio.example.com/user58
"TypeScript, Kubernetes, NestJS",https://portfolio.example.com/user59
"Kotlin, IntelliJ IDEA, ASP.NET Core",https://portfolio.example.com/user60
"Swift, Docker, Express.js",https://portfolio.example.com/user61
"Lua, Figma, Angular",https://portfolio.example.com/user62
"Kotlin, Rider, TensorFlow",https://portfolio.example.com/user63
"Perl, Rider, Nuxt.js",https://portfolio.example.com/user64
"C++, Notion, Django",https://portfolio.example.com/user65
"Kotlin, Jenkins, Phoenix",https://portfolio.example.com/user66
"Scala, NetBeans, Svelte",https://portfolio.example.com/user67
"Java, Rider, Quarkus",https://portfolio.example.com/user68
"C++, Rider, Phoenix",https://portfolio.example.com/user69
"Lua, VS Code, Spring Boot",https://portfolio.example.com/user70
"Clojure, VS Code, Phoenix",https://portfolio.example.com/user71
"Groovy, VS Code, Phoenix",https://portfolio.example.com/user72
"Rust, PyCharm, FastAPI",https://portfolio.example.com/user73
"Perl, Notion, Phoenix",https://portfolio.example.com/user74
"Python, IntelliJ IDEA, Laravel",https://portfolio.example.com/user75
"TypeScript, Rider, Flask",https://portfolio.example.com/user76
"Groovy, IntelliJ IDEA, Vue.js",https://portfolio.example.com/user77
"Dart, JIRA, Phoenix",https://portfolio.example.com/user78
"Swift, VS Code, Phoenix",https://portfolio.example.com/user79
"Groovy, Kubernetes, Next.js",https://portfolio.example.com/user80
"Kotlin, VS Code, Svelte",https://portfolio.example.com/user81
"Python, VS Code, Quarkus",https://portfolio.example.com/user82
"Clojure, Figma, Nuxt.js",https://portfolio.example.com/user83
"TypeScript, IntelliJ IDEA, FastAPI",https://portfolio.example.com/user84
"Java, Jenkins, Django",https://portfolio.example.com/user85
"Python, IntelliJ IDEA, Angular",https://portfolio.example.com/user86
"Elixir, IntelliJ IDEA, FastAPI",https://portfolio.example.com/user87
"Go, Figma, Spring Boot",https://portfolio.example.com/user88
"Clojure, Kubernetes, React",https://portfolio.example.com/user89
"Scala, SonarQube, TensorFlow",https://portfolio.example.com/user90
"Scala, Terraform, Express.js",https://portfolio.example.com/user91
"Go, Maven, Quarkus",https://portfolio.example.com/user92
"Lua, SonarQube, Laravel",https://portfolio.example.com/user93
"Groovy, SonarQube, Svelte",https://portfolio.example.com/user94
"Python, Ansible, Micronaut",https://portfolio.example.com/user95
"Scala, Figma, Laravel",https://portfolio.example.com/user96
"Rust, NetBeans, Svelte",https://portfolio.example.com/user97
"Clojure, Xcode, TensorFlow",https://portfolio.example.com/user98
"PHP, Git, Spring Boot",https://portfolio.example.com/user99
"JavaScript, Gradle, ASP.NET Core",https://portfolio.example.com/user100
